quote,tags
لن تستطيع أن تمنع طيور الهم أن تحلق فوق رأسك ، و لكنك تستطيع أن تمنعها من أن تعشش في رأسك .,أمثال
اكتم سرك تملك امرك.,أمثال
كثرة الكلام تحجب المعنى .,أمثال
الورود الجميلة لها أشواك .,أمثال
لا تفحص أسنان الحصان الهدية .,أمثال
أضعف أنواع الحبر أفضل من أقوى ذاكرة.,أمثال
اذا لم تجد من يسعدك فحاول ان تسعد نفسك .,أمثال
الذي يولد ليزحف لا يستطيع أن يطير.,أمثال
رب نعل شر من الحفاء .,أمثال
من الذي يسبقك اذا كنت تجري وحدك ؟ .,أمثال
تكثر أوهامنا حين لا تكون لنا حياة حقيقية.,أمثال
الشجار القديم سهل التجديد .,أمثال
اذا رغبت ان يكون ما تطلبه متقن الصنع .. فاصنعه بنفسك.,أمثال
لا نستطيع الطيران بأجنحة الغير .,أمثال
كُلْ واشرب مع الأقرباء ،وتاجِر مع الغرباء.,أمثال
من لا خير فيه لأهله ، لا خير فيه لأحد .,أمثال
الأحداث أعلى صوتاً من الكلمات .,أمثال
كم من رجل يهدد و يتوعد و هو يرتعد خوفاً .,أمثال
من لم ينس ضعفه ، كان أقوى الأقوياء .,أمثال
القسوة قوة الجبناء .,أمثال
الحيلة فيما لا حيلة فيه .. الصبر .,أمثال
اتقن عملك حتى لا تضطر أن تقوم به مرتين .,أمثال
من اطاع عصاك فقد عصاك .,أمثال
تستطيع أن تعرف النجار من نشارته .,أمثال
الناقوس صوته عال ، لانه أجوف .,أمثال
من لا يفتح عينيه عندما يشتري .. يفتح جيبه عندما يدفع .,أمثال
الطفل الذي لم يتعود الضرب يبكي اذا لمسته .,أمثال
من احبك لأمر ما كرهك لمجرد انتهاؤه.,أمثال
إذا نظف كل منا أمام بيته صار الشارع نظيفاً .,أمثال
إذا اضطرتك الظروف لأن تشحذ فاطلب من الناس أولاً ثم من أصدقائك .,أمثال
هي نفس الحياة ، سواء قضيناها في البكاء أو الضحك .,أمثال
المنزل ليس حجرًا، إنه امرأة.,أمثال
عندما تجد نفسك في حفرة ، توقف عن الحفر .,أمثال
لولا العمل لانقرض الناس .,أمثال
المسرف ... متسول المستقبل .,أمثال
اذا كثرت الآراء قلت الاعمال .,أمثال
الحق كالنهار لا بد أن يأتي .,أمثال
